zaman,sehir,tur,hedef_saat,kalan_dk,olasilik,durum
2026-09-23T17:40:38.592Z,Izmir,,,,,beklenmiyor
2026-09-23T17:40:38.631Z,Antalya,,,,,beklenmiyor
2026-09-23T17:40:38.653Z,Rize,rain,2026-09-23T21:00:00Z,199,0.4,bekleniyor
2026-09-23T17:52:45.251Z,Istanbul,,,,,beklenmiyor
2026-09-23T17:52:45.345Z,Ankara,,,,,beklenmiyor
2026-09-23T17:52:45.399Z,Izmir,,,,,beklenmiyor
2026-09-23T17:52:45.495Z,Antalya,,,,,beklenmiyor
2026-09-23T17:52:45.551Z,Rize,rain,2026-09-23T21:00:00Z,187,0.4,bekleniyor
2026-09-23T18:17:10.050Z,Istanbul,,,,,beklenmiyor
2026-09-23T18:17:10.100Z,Ankara,,,,,beklenmiyor
2026-09-23T18:17:10.119Z,Izmir,,,,,beklenmiyor
2026-09-23T18:17:10.139Z,Antalya,,,,,beklenmiyor
2026-09-23T18:17:10.167Z,Rize,rain,2026-09-23T21:00:00Z,163,0.4,bekleniyor
2026-09-23T18:43:43.507Z,Istanbul,,,,,beklenmiyor
2026-09-23T18:43:43.586Z,Ankara,,,,,beklenmiyor
2026-09-23T18:43:43.626Z,Izmir,,,,,beklenmiyor
2026-09-23T18:43:43.706Z,Antalya,,,,,beklenmiyor
2026-09-23T18:43:43.746Z,Rize,rain,2026-09-23T21:00:00Z,136,0.4,bekleniyor
2026-09-23T18:57:15.923Z,Istanbul,,,,,beklenmiyor
2026-09-23T18:57:16.035Z,Ankara,,,,,beklenmiyor
2026-09-23T18:57:16.057Z,Izmir,,,,,beklenmiyor
2026-09-23T18:57:16.081Z,Antalya,,,,,beklenmiyor
2026-09-23T18:57:16.113Z,Rize,rain,2026-09-23T21:00:00Z,123,0.4,bekleniyor
2026-09-23T19:15:56.219Z,Istanbul,,,,,beklenmiyor
2026-09-23T19:15:56.309Z,Ankara,,,,,beklenmiyor
2026-09-23T19:15:56.393Z,Izmir,,,,,beklenmiyor
